"1","Brass: Birmingham","ブラス：バーミンガム","2018","8.409","3.87","3,4","Gavan Brown,Matt Tolman,Martin Wallace","https://boardgamegeek.com/boardgame/224517/brass-birmingham"
"2","Pandemic Legacy: Season 1","パンデミック：レガシー シーズン1","2015","8.373","2.83","4","Rob Daviau,Matt Leacock","https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1"
"3","Gloomhaven","グルームヘイヴン","2017","8.34","3.91","3","Isaac Childres","https://boardgamegeek.com/boardgame/174430/gloomhaven"
"4","Ark Nova","アーク・ノヴァ　新たなる方舟","2021","8.339","3.77","2","Mathias Wigge","https://boardgamegeek.com/boardgame/342942/ark-nova"
"5","Twilight Imperium: Fourth Edition","トワイライト・インぺリウム第4版","2017","8.235","4.33","6","Dane Beltrami,Corey Konieczka,Christian T. Petersen","https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition"
"6","Dune: Imperium","デューン　砂の惑星　インペリウム","2020","8.23","3.05","3,4","Paul Dennen","https://boardgamegeek.com/boardgame/316554/dune-imperium"
"7","Terraforming Mars","テラフォーミング・マーズ","2016","8.206","3.27","3","Jacob Fryxelius","https://boardgamegeek.com/boardgame/167791/terraforming-mars"
"8","War of the Ring: Second Edition","","2011","8.192","4.22","2","Roberto Di Meglio,Marco Maggi,Francesco Nepitello","https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition"
"9","Star Wars: Rebellion","","2016","8.169","3.74","2","Corey Konieczka","https://boardgamegeek.com/boardgame/187645/star-wars-rebellion"
"10","Gloomhaven: Jaws of the Lion","グルームヘイヴン スタートセット 獅子のあぎと","2020","8.146","3.64","2","Isaac Childres","https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion"
"11","Spirit Island","スピリット・アイランド","2017","8.145","4.07","2","R. Eric Reuss","https://boardgamegeek.com/boardgame/162886/spirit-island"
"12","Gaia Project","テラミスティカ：ガイアプロジェクト","2017","8.107","4.4","3,4","Jens Drögemüller,Helge Ostertag","https://boardgamegeek.com/boardgame/220308/gaia-project"
"13","Twilight Struggle","トワイライト・ストラグル","2005","8.062","3.61","2","Ananda Gupta,Jason Matthews","https://boardgamegeek.com/boardgame/12333/twilight-struggle"
"14","Through the Ages: A New Story of Civilization","スルー･ジ･エイジズ:新たなる文明の物語","2015","8.046","4.44","3","Vlaada Chvátil","https://boardgamegeek.com/boardgame/182028/through-the-ages-a-new-story-of-civilization"
"15","The Castles of Burgundy","","2011","8.018","2.98","2","Stefan Feld","https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy"
"16","Great Western Trail","グレート ウエスタン トレイル","2016","8.013","3.7","3","Alexander Pfister","https://boardgamegeek.com/boardgame/193738/great-western-trail"
"17","Scythe","大鎌戦役","2016","7.98","3.45","4","Jamey Stegmaier","https://boardgamegeek.com/boardgame/169786/scythe"
"18","Eclipse: Second Dawn for the Galaxy","エクリプス〜新たなる銀河の夜明け〜","2020","7.978","3.65","4,6","Touko Tahkokallio","https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-for-the-galaxy"
"19","7 Wonders Duel","世界の七不思議:デュエル","2015","7.969","2.22","2","Antoine Bauza,Bruno Cathala","https://boardgamegeek.com/boardgame/173346/7-wonders-duel"
"20","Brass: Lancashire","ブラス：ランカシャー","2007","7.963","3.85","4","Martin Wallace","https://boardgamegeek.com/boardgame/28720/brass-lancashire"
"21","Nemesis","ネメシス","2018","7.952","3.47","4,5","Adam Kwapiński","https://boardgamegeek.com/boardgame/167355/nemesis"
"22","Dune: Imperium – Uprising","デューン　砂の惑星　インペリウム　反乱","2023","7.951","3.46","4","Paul Dennen","https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising"
"23","Clank! Legacy: Acquisitions Incorporated","","2019","7.947","2.73","4","Andy Clautice,Paul Dennen","https://boardgamegeek.com/boardgame/266507/clank-legacy-acquisitions-incorporated"
"24","A Feast for Odin","オーディンの祝祭","2016","7.942","3.86","3","Uwe Rosenberg","https://boardgamegeek.com/boardgame/177736/a-feast-for-odin"
"25","Concordia","コンコルディア","2013","7.938","2.99","4","Mac Gerdts","https://boardgamegeek.com/boardgame/124361/concordia"
"26","Frosthaven","","2022","7.915","4.38","3","Isaac Childres","https://boardgamegeek.com/boardgame/295770/frosthaven"
